Date_measured_harvested	Pot Number	Total Slique Number	Slique Length (mm)	Seed_Num_estimate	Notes
6/21/18	314	11	8.16	89.76	
6/21/18	314	6	8.15	48.9	
6/21/18	314	7	8.43	59.01	
6/21/18	314	6	9.24	55.44	
6/21/18	314	4	6.78	27.12	
6/21/18	314	4	8.06	32.24	
6/21/18	314	3	6.89	20.67	
6/21/18	314	1	6.9	6.9	
6/21/18	314	8	7.94	63.52	
6/21/18	314	4	5.72	22.88	
6/21/18	314	3	7.17	21.51	
6/21/18	314	5	6.63	33.15	
6/21/18	314	5	4.67	23.35	
6/21/18	314	8	7.58	60.64	
6/21/18	314	1	5.56	5.56	
6/21/18	314	4	9.18	36.72	
6/21/18	314	5	6.24	31.2	
6/21/18	332	3	2.28	6.84	
6/21/18	332	1	1.65	1.65	
6/21/18	332	2	5.57	11.14	
6/21/18	332	4	5.48	21.92	
6/21/18	332	6	3.22	19.32	
6/21/18	332	4	6.56	26.24	
6/21/18	332	3	3.43	10.29	
6/21/18	332	4	4.93	19.72	
6/21/18	332	3	5.86	17.58	
6/21/18	332	4	5.37	21.48	
6/21/18	332	3	4.38	13.14	
6/21/18	332	2	4.5	9	
6/21/18	332	6	7.6	45.6	
6/21/18	332	5	7.44	37.2	
6/21/18	332	8	5.37	42.96	
6/21/18	332	3	6.84	20.52	
6/21/18	332	2	5.27	10.54	
6/21/18	332	3	7.55	22.65	
6/21/18	375	3	9.27	27.81	
6/21/18	375	4	4.38	17.52	
6/21/18	375	2	8.48	16.96	
6/21/18	375	3	5.97	17.91	
6/21/18	375	2	5.09	10.18	
6/21/18	375	7	8.95	62.65	
6/21/18	375	9	8.72	78.48	
6/21/18	375	5	7.96	39.8	
6/21/18	375	2	5.82	11.64	
6/21/18	375	2	7.49	14.98	
6/21/18	375	2	8.7	17.4	
6/21/18	375	2	10.21	20.42	
6/21/18	463	2	7.21	14.42	
6/21/18	463	2	6.38	12.76	
6/21/18	463	3	6.89	20.67	
6/21/18	463	5	6.99	34.95	
6/21/18	463	2	7.43	14.86	
6/21/18	463	2	6.12	12.24	
6/21/18	463	3	5.72	17.16	
6/21/18	463	2	7.78	15.56	
6/21/18	463	2	8.62	17.24	
6/21/18	463	3	5.4	16.2	
6/21/18	463	2	6.97	13.94	
