PotID	PlantNum_Initial	FH_Num	FecundityNum	SurvivalNum	Mortality	6_12_total_num	6_12_late_germ_num	6_12_duplicate_num	Damaged_pot
1	1	0	0	0	1	7	5	0	NA
2	11	0	0	0	11	14	5	0	damaged
3	18	17	0	17	1	17	0	0	NA
4	19	16	0	16	3	17	0	0	NA
5	19	17	0	17	2	19	0	0	NA
6	19	19	0	19	0	19	0	0	NA
7	10	5	0	5	5	8	0	0	NA
8	17	8	0	8	9	15	0	0	NA
9	20	2	0	2	18	25	2	4	damaged
10	19	15	0	15	4	16	1	0	NA
11	8	4	0	4	4	7	0	0	NA
12	20	11	0	11	9	18	0	0	NA
13	19	6	9	15	4	20	0	0	NA
14	17	19	0	19	-2	27	5	5	NA
15	17	11	1	12	5	14	0	0	NA
16	16	3	3	6	10	10	0	0	NA
17	20	2	11	13	7	21	0	1	NA
18	20	9	1	10	10	19	0	0	NA
19	19	2	1	3	16	19	0	0	NA
20	19	14	0	14	5	20	0	0	NA
21	18	8	0	8	10	17	0	0	NA
22	20	2	5	7	13	18	0	0	NA
23	20	0	0	0	20	8	1	0	NA
24	20	0	11	11	9	19	0	0	NA
25	16	0	6	6	10	9	0	0	NA
26	17	1	0	1	16	18	1	0	NA
27	19	0	0	0	19	19	0	0	NA
28	17	0	0	0	17	13	0	0	NA
29	19	1	0	1	18	13	0	0	NA
30	18	2	9	11	7	21	4	0	NA
31	20	18	0	18	2	20	0	0	NA
32	15	12	0	12	3	16	0	0	NA
33	18	12	0	12	6	19	0	0	NA
34	18	10	6	16	2	19	1	0	NA
35	20	13	0	13	7	21	1	0	NA
36	18	9	6	15	3	18	0	1	NA
37	18	19	0	19	-1	18	0	0	NA
38	20	0	21	21	-1	19	0	0	NA
39	18	0	13	13	5	18	1	0	NA
40	0	0	0	0	0	0	0	0	NA
41	0	0	0	0	0	0	0	0	NA
42	19	10	4	14	5	19	1	0	NA
43	17	16	0	16	1	20	3	2	NA
44	19	0	21	21	-2	22	2	0	NA
45	18	9	5	14	4	21	5	0	NA
46	13	10	0	10	3	24	12	0	NA
47	20	13	0	13	7	19	0	0	NA
48	20	11	4	15	5	21	2	0	NA
49	19	2	0	2	17	20	0	0	NA
50	19	16	0	16	3	25	4	3	NA
51	19	15	0	15	4	27	0	7	NA
52	19	9	8	17	2	19	0	0	NA
53	20	16	0	16	4	26	1	5	NA
54	20	0	20	20	0	20	0	0	NA
55	20	5	7	12	8	21	2	0	NA
56	18	0	18	18	0	19	1	0	NA
57	20	0	20	20	0	19	0	0	NA
58	20	0	0	0	20	22	1	0	NA
59	20	2	0	2	18	20	0	0	NA
60	20	2	0	2	18	20	0	0	NA
