"CS_number","Longitude","Latitude","tmean_4","Mean.Diurn.Rng","Min.Tmp.Cld.M","tmin_meangro","Prc.Seas","tmax_meangro","gs.AI","interAnn_pvar_meangro","groseason","cv_prec_meangro","PCs5_distPSU","ecotypeid"
"CS76854",-5.7,43.31,115,86,42,89.6666666666667,28,176,0.90391061452514,0.627417827831875,12,0.299244300263697,7.5387710078993,9847
"CS77057",9.09,48.53,85,88,-30,68.3333333333333,27,165.444444444444,0.811244979919679,0.433151649975517,9,0.265982594384737,5.31922528802221,9782
"CS76836",-4.15,40.59,95,104,-7,56.625,32,161.375,0.527131782945736,0.663895064989768,8,0.197262531107512,4.27400226895244,9841
"CS76741",-3.36,36.97,94,119,-8,32.1428571428571,48,137.285714285714,0.997844827586207,0.775845673310292,7,0.135909033104276,6.24819938974815,9529
"CS76886",-5.39,36.77,104,110,8,41.25,64,138.125,1.68875502008032,0.797486691060813,8,0.284668738161188,8.63041685937206,9543
"CS76441",-4.79821,56.5459,64,67,-12,59.7777777777778,30,129.888888888889,2.34857142857143,0.442795930358947,9,0.302523705627015,11.4615339636812,7014
"CS76689",2.13,41.43,132,70,53,111.818181818182,26,181.181818181818,0.830666666666667,0.798763388595529,11,0.241225893506411,7.88371912507534,9521
"CS76998",46.2831,41.8296,124,96,-28,110.666666666667,36,213.222222222222,0.668443496801706,0.73978506468055,9,0.285461939732316,6.97181094764357,9100
"CS77033",51.94,53.04,65,96,-172,85,25,193.5,0.495769881556684,0.710127235866557,6,0.233273392051975,5.12941830203436,9612
"CS76770",-0.6383,51.4083,89,79,-3,78.1111111111111,14,163,0.76099706744868,0.627160167083507,9,0.117292623628341,5.2561606867598,6907
"CS78778",-3.1,52.9,64,65,-9,60.5555555555556,18,130.444444444444,1.32427536231884,0.581742550267836,9,0.174635738346395,8.53266860792365,5811
"CS77190",1.73,42.38,68,81,-12,70.4444444444444,20,156.888888888889,1.01912568306011,0.710243648605581,9,0.164916134000675,6.07105917298072,9886
"CS76649",-7.45,31.48,131,164,-15,31.125,59,183.625,0.643949930458971,1.5075164453716,8,0.223085911179593,13.9272813672429,9606
"CS78841",-7.45,41.95,118,101,20,68.6,47,164.1,1.262341325811,0.598586117226651,10,0.324396710040966,7.85291820890923,9596
"CS76721",-6.15,42.5,87,111,-13,45.125,33,155,0.759615384615385,0.562805751613779,8,0.267125599853914,5.41174115779248,9828
"CS76360",12.87,41.62,127,110,31,74.8888888888889,44,179.222222222222,1.32907348242811,0.529549280056501,9,0.291170051619108,6.67124573026418,9984
"CS77000",46.2831,41.8296,124,96,-28,110.666666666667,36,213.222222222222,0.668443496801706,0.73978506468055,9,0.285461939732316,6.97181094764357,9103
"CS76979",82.55,51.32,33,116,-202,84.8,25,220.2,0.502384737678855,0.451749805957492,5,0.14943948041921,4.01034051136945,9627
"CS76739",-5.74,40.37,89,110,-9,50.5,38,159.875,0.641538461538462,0.644199296821828,8,0.208509017930783,4.90198242038402,9527
"CS76390",46.28,41.83,124,96,-28,110.666666666667,36,213.222222222222,0.668443496801706,0.73978506468055,9,0.285461939732316,6.97181094764357,9990
"CS76769",23.33,41.5,132,105,-4,56,22,151.857142857143,0.683297180043384,0.596014503023411,7,0.18899778995812,4.10967684881697,9705
"CS76691",79.48,51.84,43,113,-214,63,41,191,0.265536723163842,0.508905007253297,3,0.487508052654877,10.8928854409928,9619
"CS76958",82.16,51.34,35,116,-206,88,22,224.4,0.463949843260188,0.451749805957492,5,0.171184135948084,4.29605563098859,9630
"CS76994",73.1,49.5,44,113,-201,20,28,148.5,0.316062176165803,0.736387898549751,2,0.347757433370433,10.5401146197568,6830
"CS77107",-4.38,38.06,155,117,41,79.75,57,181.875,0.868600682593857,0.779523086794677,8,0.172568786492945,7.53343373088327,9559
"CS76978",82.59,51.36,33,116,-201,84.4,25,219.6,0.503987240829346,0.451749805957492,5,0.14943948041921,3.96483434261191,9626
"CS77020",10.8719,47.984,74,85,-43,80.5714285714286,32,177.142857142857,1.03703703703704,0.404998377088178,7,0.261040918461285,5.18705283105515,7213
"CS76996",-5.91,43.33,119,87,46,89.0909090909091,29,174.818181818182,0.990897269180754,0.598450503086773,11,0.27390498158443,7.22621210318015,9853
"CS77197",-3.31,40.93,99,104,-1,48.375,30,147,0.616724738675958,0.644268850867789,8,0.129961047347024,4.92892542933891,9888
"CS77287",-7.39,43.4,115,82,44,86.3636363636364,35,167.636363636364,1.27335164835165,0.633955203592392,11,0.313820572214788,8.79222574777616,9585
"CS77387",-5.49,43.37,112,83,40,88.75,28,171.5,0.951445086705202,0.627417827831875,12,0.294153874742808,7.91471514011001,9590
"CS76537",73.1,49.5,44,113,-201,20,28,148.5,0.316062176165803,0.736387898549751,2,0.347757433370433,10.5401146197568,6931
"CS76632",9.3,52.3,79,79,-23,75,16,166.625,0.804012345679012,0.515746686076957,8,0.161136981664609,4.71295261946803,6982
"CS76513",8.28844,51.3472,78,72,-22,75.75,12,158.875,0.972267536704731,0.449558434407684,8,0.10881120582252,5.22937707827001,7165
"CS77179",-2.56,42.1,69,110,-28,52,18,172.333333333333,0.591435185185185,0.583566122307295,9,0.215488674977295,4.31182341212135,9883
"CS76774",-4.65,40.05,138,113,22,61.625,38,161.5,0.547169811320755,0.677251379427028,8,0.124028413650098,5.51733684093654,9534
"CS76695",-5.27,36.52,150,89,71,95,73,178.428571428571,1.53176470588235,0.778371773347312,7,0.269533096925028,10.3177984151405,9522
"CS77229",-6.7,42.13,83,105,-12,45.25,42,148.875,0.959731543624161,0.602727121468693,8,0.286530484352634,6.37331353229658,9578
"CS77023",48.6131,38.7406,117,87,-7,77.7142857142857,47,157.714285714286,1.16452991452991,0.550623547668975,7,0.386206932831032,7.73449682284914,9075
"CS76999",46.2831,41.8296,124,96,-28,110.666666666667,36,213.222222222222,0.668443496801706,0.73978506468055,9,0.285461939732316,6.97181094764357,9102
"CS77002",46.2831,41.8296,124,96,-28,110.666666666667,36,213.222222222222,0.668443496801706,0.73978506468055,9,0.285461939732316,6.97181094764357,9105
"CS77006",46.2831,41.8296,124,96,-28,110.666666666667,36,213.222222222222,0.668443496801706,0.73978506468055,9,0.285461939732316,6.97181094764357,9113
"CS76693",79.46,51.84,44,113,-214,63.3333333333333,41,191,0.265536723163842,0.508905007253297,3,0.487508052654877,10.8771980562938,9621
"CS78848",-6.04,39.85,141,111,35,70.25,46,165.375,0.755639097744361,0.752521346241775,8,0.120229313170095,5.90570318422391,9600
"CS77196",-4.77,40.4,109,112,0,37.375,34,135.25,0.631578947368421,0.635138170917653,8,0.206066717505501,5.49288940801601,9887
"CS77004",46.2831,41.8296,124,96,-28,110.666666666667,36,213.222222222222,0.668443496801706,0.73978506468055,9,0.285461939732316,6.97181094764357,9115
"CS77001",46.2831,41.8296,124,96,-28,110.666666666667,36,213.222222222222,0.668443496801706,0.73978506468055,9,0.285461939732316,6.97181094764357,9104
"CS77028",48.5517,38.7833,116,92,-10,74.4285714285714,45,158,1.05882352941176,0.550623547668975,7,0.358967999536669,7.09644356932009,9084
"CS76409",-1.34,41.32,82,102,-26,53.5714285714286,31,157.857142857143,0.589788732394366,0.731343695881822,7,0.28737448469394,6.43585996100691,9942
"CS76953",48.5594,38.9786,124,81,-1,88.7142857142857,48,163.857142857143,1.09168443496802,0.550623547668975,7,0.36089853403934,7.73387067251798,9099
"CS76692",79.48,51.82,44,113,-214,63.3333333333333,41,191,0.265536723163842,0.508905007253297,3,0.487508052654877,10.8771980562938,9620
